jk,efccid,srcid,cmpid,num,srcname,cmp,cmpesc,cmplnk,loc,country,zip,city,title,locid,rd
149840af0001fa94,25150deb9032db67,6b68aa2d93083a80,a8b435b72940dace,11,Indeed,Kinder World Preschool,Kinder World Preschool,"/q-Kinder-World-Preschool-l-Rancho-Cordova,-CA-jobs.html","Rancho Cordova, CA 95670",US,95670,Rancho Cordova,Office Assistant,d188d320f3892da1,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sbn2clb4ETYyzaMNiVBQcaR
46a3bca025e13da3,f4c1b6b31bbc2889,d600fdd68827aad0,82e58e9861d48566,12,The Home Depot,The Home Depot,The Home Depot,"/q-The-Home-Depot-l-Rancho-Cordova,-CA-jobs.html","Rancho Cordova, CA 95742",US,,Rancho Cordova,Freight/Receiving,d188d320f3892da1,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4saEnDN7BjFBCRVl0RitRxK-
9debb83992539158,a8d8beb2a18666b5,51c0793f633c341a,ed119ac85bbe0b5a,13,Indeed,Season's 52,Season&#039;s 52,"/jobs?q=Season%27s+52&l=Rancho+Cordova,+CA","Sacramento, CA 95815",US,95815,Sacramento,Server (4534),a03c85c8cf06a330,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sYKwV79vAlYf1WVRfndRjZP
ec59b2a515c624ae,379ac144ab83a68f,6f3a5722449dc472,979da04777192a13,14,Indeed,Rudy's Hideaway,Rudy&#039;s Hideaway,"/jobs?q=Rudy%27s+Hideaway&l=Rancho+Cordova,+CA","Rancho Cordova, CA 95742",US,95742,Rancho Cordova,Host/Hostess Night Time,d188d320f3892da1,E4fhWX_aAFqF37QMCtQEyoXu0O3q_u7jR-ad0LIkJdk
e92eaccc36336ec8,16584f085188c98c,c4635b1a093b1e3d,3343431e1145a599,15,Indeed,Talley Inc.,Talley Inc.,"/q-Talley-l-Rancho-Cordova,-CA-jobs.html","Gold River, CA 95670",US,95670,Gold River,Warehouse Associate,a03e72003575348a,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sa_nUMSh6PJp9NroTZTuZ4C
ca721c11a7cd5d19,dffe3742b8f927df,ba98ab0eaa5f2d74,d3d3520998346837,16,UnitedHealth Group,UnitedHealth Group,UnitedHealth Group,"/q-UnitedHealth-Group-l-Rancho-Cordova,-CA-jobs.html","Sacramento, CA 95813",US,95813,Sacramento,"Patient Care Coordinator - Sacramento, CA",a03c85c8cf06a330,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sa87hpBE1l60R0n6TAwb_Av
6b45921117dc614a,29e3254e9a834adc,1292cabc96bd91c8,256dcf6d416b8f66,17,ProTransport-1,ProTransport-1,ProTransport-1,"/jobs?q=ProTransport-1&l=Rancho+Cordova,+CA","Rancho Cordova, CA",US,,Rancho Cordova,"EMT - Sign On Bonus up to $7,500",d188d320f3892da1,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sYoqOfq7ltQqoNDlHNkof0x
365c99169e57f269,3440c1e51661d218,fe1489ed519cffd4,51399244b8ef3f28,18,Lamps Plus,Lamps Plus,Lamps Plus,"/q-Lamps-Plus-l-Rancho-Cordova,-CA-jobs.html","Fair Oaks, CA 95628",US,95628,Fair Oaks,Retail Visual Lead,1a0c158bc305cd36,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sbdRF9y0fgpqTUnAE_NfIFS
8ebfed06d8fdac25,2a85103fbd8eabfb,e4ec9038f24e3696,fa567a018d8f8632,19,Indeed,Renewal by Andersen,Renewal by Andersen,"/q-Renewal-by-Andersen-l-Rancho-Cordova,-CA-jobs.html","Rancho Cordova, CA 95742",US,95742,Rancho Cordova,Accounting Clerk II,d188d320f3892da1,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4saNxUDSLdcP0C1KxySNhwzK
f3617ff327e6108a,e029989d558dd82f,24454ecf554e66ca,67dfb52c7828e179,20,Indeed,"Sierra Pacific Home & Comfort, Inc.","Sierra Pacific Home &amp; Comfort, Inc.","/q-Sierra-Pacific-Home-&-Comfort-l-Rancho-Cordova,-CA-jobs.html","Rancho Cordova, CA",US,,Rancho Cordova,Solar Technician,d188d320f3892da1,E4fhWX_aAFqF37QMCtQEyoXu0O3q_u7jR-ad0LIkJdk
193da5107a0f66e8,7a63f237588e0c79,9167dd1d6cbe37e4,1a93caa31afcad42,21,Indeed Hiring Events,TELUS International,TELUS International,"/q-TELUS-International-l-Rancho-Cordova,-CA-jobs.html","Folsom, CA 95630",US,95630,Folsom,CSR - Customer Service Representative Virtual Hiring Event,7018617eed203ecd,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sZY-AeFmrYmLfZlommaQjts
662a3c01dfde5ca5,f553ee5371381a7b,7497cb5540e842b1,3ca1b6611bf153eb,22,Indeed,"DigiStream Investigations, Inc.","DigiStream Investigations, Inc.","/q-DigiStream-Investigations-l-Rancho-Cordova,-CA-jobs.html","Elk Grove, CA",US,,Elk Grove,Entry Level Surveillance Investigator,5500c50eab3ba786,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sa87hpBE1l60R0n6TAwb_Av
61cd9007b43463b2,f4c1b6b31bbc2889,d600fdd68827aad0,82e58e9861d48566,23,The Home Depot,The Home Depot,The Home Depot,"/q-The-Home-Depot-l-Rancho-Cordova,-CA-jobs.html","Rancho Cordova, CA 95742",US,,Rancho Cordova,Customer Service/Sales,d188d320f3892da1,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4saEnDN7BjFBCRVl0RitRxK-
1411ccf82ab68faf,6e7b40121fbb5e2f,d52c7a354b0111bb,c1099851e9794854,24,Apple,Apple,Apple,"/q-Apple-l-Rancho-Cordova,-CA-jobs.html","Sacramento, CA 95815",US,,Sacramento,IS&amp;T HelpLine Analyst,a03c85c8cf06a330,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sb4YoTRVfq9ReX6U4aGr8vS
c6a4f327dc30618b,862ba4dd06d5d03b,e0e266f7125e27a1,437a68ded819dc3f,25,BJ’s Restaurant &amp; Brewhouse,BJ's Restaurant and Brewhouse,BJ&#039;s Restaurant and Brewhouse,"/jobs?q=BJ%27s+Restaurant+and+Brewhouse&l=Rancho+Cordova,+CA","Sacramento, CA 95815",US,95815,Sacramento,Host,a03c85c8cf06a330,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sa87hpBE1l60R0n6TAwb_Av
753318a92fbfd456,d724b87aba8e1a5e,585b9e32652d322b,23388e9a21f1c786,26,Indeed,Amerisun,Amerisun,"/q-Amerisun-l-Rancho-Cordova,-CA-jobs.html","Sacramento, CA",US,,Sacramento,Solar Panel Installer Up to $40 per hour!,a03c85c8cf06a330,E4fhWX_aAFqF37QMCtQEyoXu0O3q_u7jR-ad0LIkJdk
0c5484594d392ffd,27ebb2ca38d946e4,7849ff09b63f8130,48ecd526e3aa3225,27,Kaiser Permanente,Kaiser Permanente,Kaiser Permanente,"/q-Kaiser-Permanente-l-Rancho-Cordova,-CA-jobs.html","Sacramento, CA",US,,Sacramento,Departmental Clerk,a03c85c8cf06a330,0HcsNzDq-OLJ6bT4SC-8zGIx25Mj6PSL6QhzqpEeikDE6sV57wQU556_d0Wz_qoJ
f7fc181e26f58c92,3e64b6493a194c8b,1be66cb69ac16dde,e4a0ebc7ef5e730e,28,Nike,NIKE INC,NIKE INC,"/q-NIKE-l-Rancho-Cordova,-CA-jobs.html","Carmichael, CA 95609",US,95609,Carmichael,Nike Folsom Retail Sales Associate Part-Time (&#034;Athlete&#034;),15e9600c27543938,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sa_nUMSh6PJp9NroTZTuZ4C
5e1be47275f41915,b6c54e2d1c52d8bb,6db81bdd5e4f8387,b21837c01308d6b6,29,Indeed,Private Client,Private Client,"/q-Private-Client-l-Rancho-Cordova,-CA-jobs.html","Folsom, CA",US,,Folsom,Recruiting Assistant Coordinator,7018617eed203ecd,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sbn2clb4ETYyzaMNiVBQcaR
cbd8783e9da83603,91eb9b667e8278e9,c68f7352fd00b276,9e0f6e241a8faa93,30,LKQ,LKQ,LKQ,"/q-LKQ-l-Rancho-Cordova,-CA-jobs.html","Rancho Cordova, CA 95742",US,95742,Rancho Cordova,Warehouse Worker,d188d320f3892da1,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sYoqOfq7ltQqoNDlHNkof0x
0ed7703dc963874a,4733e76752d4f64a,827f4c8362b48645,3e7451ea2d475fd0,31,Indeed,Jatagan Security,Jatagan Security,"/q-Jatagan-Security-l-Rancho-Cordova,-CA-jobs.html","Citrus Heights, CA 95838",US,,Citrus Heights,Monitoring Agent,2a6034c31de038e2,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sYKwV79vAlYf1WVRfndRjZP
a604f9df2792d3ea,7a405437db7757f5,06fb78838527678d,0283272332f88d71,32,Indeed,Capitol Impact,Capitol Impact,"/q-Capitol-Impact-l-Rancho-Cordova,-CA-jobs.html","Sacramento, CA 95814",US,95814,Sacramento,Program Assistant,a03c85c8cf06a330,E4fhWX_aAFqF37QMCtQEyoXu0O3q_u7jR-ad0LIkJdk
039e148a3216eaa1,89016e24413d2b46,4b9eed7f04bfa87a,9d09528c50b28a67,33,Life Skills Training And Education,Life Skills Training and Educational Programs - LifeSTEPS,Life Skills Training and Educational Programs - LifeSTEPS,"/jobs?q=Life+Skills+Training+and+Educational+Programs+-+LifeSTEPS&l=Rancho+Cordova,+CA","Sacramento, CA 95827",US,95827,Sacramento,Accounting Clerk,a03c85c8cf06a330,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sbxLZ2UvZ5hdCHVnl35GbKl
6c78bb29da7f50d9,e029989d558dd82f,24454ecf554e66ca,67dfb52c7828e179,34,Indeed,"Sierra Pacific Home & Comfort, Inc.","Sierra Pacific Home &amp; Comfort, Inc.","/q-Sierra-Pacific-Home-&-Comfort-l-Rancho-Cordova,-CA-jobs.html","Rancho Cordova, CA 95742",US,95742,Rancho Cordova,Administrative Assistant,d188d320f3892da1,E4fhWX_aAFqF37QMCtQEyoXu0O3q_u7jR-ad0LIkJdk
e66e3f67e22802e8,294c1852f6515f3f,7fce24ceed4ffccb,01221f744555bb41,35,Indeed,Turning Point Community Programs,Turning Point Community Programs,"/q-Turning-Point-Community-Programs-l-Rancho-Cordova,-CA-jobs.html","Roseville, CA 95661",US,95661,Roseville,Office Manager,75684e6fe6a0671a,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4saNxUDSLdcP0C1KxySNhwzK
e4643444da070115,c2b754cbb4082d9a,62838a6105fe9e04,09c94242f831018a,36,Indeed,Hardwoods Specialty Products,Hardwoods Specialty Products,"/q-Hardwoods-Specialty-Products-l-Rancho-Cordova,-CA-jobs.html","Rancho Cordova, CA",US,,Rancho Cordova,"Administrative Assistant, Operations",d188d320f3892da1,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4saNxUDSLdcP0C1KxySNhwzK
3f501c86cf039acf,,304f2d2640bccada,393e0e237378356c,37,Simply Hired,Ralph Motors Eng,Ralph Motors Eng,"/q-Ralph-Motors-Eng-l-Rancho-Cordova,-CA-jobs.html","Sacramento, CA",US,,Sacramento,Ecommerce Product Lister,a03c85c8cf06a330,E4fhWX_aAFqF37QMCtQEyoXu0O3q_u7jR-ad0LIkJdk
2ac7a7d79c470486,866f6108d3352d97,b9768c87b336a3bc,c0f5e853b6b6fb54,38,CommonSpirit Health,Dignity Health Medical Foundation,Dignity Health Medical Foundation,"/q-Dignity-Health-Medical-Foundation-l-Rancho-Cordova,-CA-jobs.html","Sacramento, CA 95816",US,95816,Sacramento,RN Urgent Care,a03c85c8cf06a330,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sZY-AeFmrYmLfZlommaQjts
cf8c9e6772647b8b,f7e5a53347c159b0,a1d731a6ff81d3e3,c135d383249fc0f4,39,"Language World Services, Inc.",Language World Services Inc,Language World Services Inc,"/q-Language-World-Services-l-Rancho-Cordova,-CA-jobs.html","Sacramento, CA 95820",US,95820,Sacramento,Pashto and Dari Interpreter - (On-site),a03c85c8cf06a330,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4saEnDN7BjFBCRVl0RitRxK-
a0f28802c9e9088e,c660040b325f23ec,ed1ac4fd82fb65fc,657f9996be4d5d31,40,Indeed,Foliate Plant Domaine,Foliate Plant Domaine,"/q-Foliate-Plant-Domaine-l-Rancho-Cordova,-CA-jobs.html","Sacramento, CA 95811",US,95811,Sacramento,Administrative Assistant,a03c85c8cf06a330,E4fhWX_aAFqF37QMCtQEyoXu0O3q_u7jR-ad0LIkJdk
8d45ddcc11af856b,f7e5a53347c159b0,a1d731a6ff81d3e3,c135d383249fc0f4,41,"Language World Services, Inc.",Language World Services Inc,Language World Services Inc,"/q-Language-World-Services-l-Rancho-Cordova,-CA-jobs.html","Carmichael, CA 95608",US,95608,Carmichael,Administrative Assistant,15e9600c27543938,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4saEnDN7BjFBCRVl0RitRxK-
2299ac88a4641a33,e307546060fda0eb,f704d0466c73cebc,115f6c49de2ff928,42,Raising Cane&#039;s,Raising Cane's,Raising Cane&#039;s,"/jobs?q=Raising+Cane%27s&l=Rancho+Cordova,+CA","Citrus Heights, CA 95610",US,95610,Citrus Heights,Cashier No Experience Needed,2a6034c31de038e2,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sZY-AeFmrYmLfZlommaQjts
1d12e0ecae9f1308,753c5861b4b84d9d,6e42123848529f7b,82446263f98a4489,43,Indeed,Softfile DCS,Softfile DCS,"/q-Softfile-DCS-l-Rancho-Cordova,-CA-jobs.html","Sacramento, CA 95815",US,95815,Sacramento,Data Entry Specialist,a03c85c8cf06a330,twcb2ZEJnz8JwcbwiR9wTXCTLTQ44hBrYzIn8zjBFhDT7vtGycjq1Vz4FjlvSeYd
086fd6917eb68d50,84fe435508f70188,41ee1d5a4bfc23be,915b1c0ee87e5e8a,44,Indeed,Pearson,Pearson,"/q-Pearson-l-Rancho-Cordova,-CA-jobs.html","Sacramento, CA",US,,Sacramento,Professional Test Scorer (Remote),a03c85c8cf06a330,wQqIkzc2s6nicwjvnOnMaQB_ucDMIkRlNx2fKzkGwFdfzCp2kgBRgLA-pHxERbd4
f4bfb6edd5f85aee,d9b9785c44126fa8,3a6f2bd17ea10c61,48838b56990e5aeb,45,Indeed,Mather Aviation,Mather Aviation,"/q-Mather-Aviation-l-Rancho-Cordova,-CA-jobs.html","Mather, CA 95655",US,95655,Mather,Line Service,58b9440a8c1fbc1e,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4saEnDN7BjFBCRVl0RitRxK-
a18f57d985f1b8e2,5f434079f4f64dee,0e26d2a263737fa6,8b22d65c10c3fdea,46,Indeed,Door Pros,Door Pros,"/q-Door-Pros-l-Rancho-Cordova,-CA-jobs.html","Gold River, CA 95670",US,95670,Gold River,Sales Administrative Assistant,a03e72003575348a,E4fhWX_aAFqF37QMCtQEyoXu0O3q_u7jR-ad0LIkJdk
a0959f9ffeec8243,3cd2aabbd62a9cc0,6a5f9bfedf8ef2ce,2ec9e0488117aa05,47,Sutter Health,Sutter Health,Sutter Health,"/q-Sutter-Health-l-Rancho-Cordova,-CA-jobs.html","Roseville, CA",US,,Roseville,Patient Escort / Transportation,75684e6fe6a0671a,2xoO0TjyPVRYyCMAB-zZvWm9oNzUSHfmn3s2FhIFclR25R_sUz51ae1tdZa-tsE0
53a96b5f385fa305,afd1466db269b253,a127062719cc48f0,a88e611ddef97571,48,Starbucks,Starbucks,Starbucks,"/q-Starbucks-l-Rancho-Cordova,-CA-jobs.html","Rancho Cordova, CA 95670",US,95670,Rancho Cordova,"barista - Store# 13557, INTERNATIONAL &amp; ZINFANDEL - RA",d188d320f3892da1,M8curE_78AB2NZz5sTSH0tvk3AyDJAIavMAYQGTiClOsYQPSS4jzf3NLSpESho_y
8c2e3083fcb9785f,8f1306a45169e71e,d7a1d915f3f2fdd2,a7d753b47700722f,49,"Harbor Freight Tools USA, Inc.","Harbor Freight Tools USA, Inc.","Harbor Freight Tools USA, Inc.","/q-Harbor-Freight-Tools-USA-l-Rancho-Cordova,-CA-jobs.html","Rancho Cordova, CA 95670",US,,Rancho Cordova,Retail Stocking Associate $16.60/hr,d188d320f3892da1,L1jYwnlK9Pyu3RXUemdg76JiqhDhF27rMBUxhEqe5cZ7mJDffY3mVfqQ-AAzQu5e
45973279c8c965cf,d8d40906f6ea5b97,58392edb3cc09ebb,08e0054461d561b3,0,Indeed,Construction Industry Education Foundation & Sacramento Regional Builders Exchange,Construction Industry Education Foundation &amp; Sacramento Regional Builders Exchange,"/q-Construction-Industry-Education-Foundation-&-Sacramento-Regional-Builders-Exchange-l-Rancho-Cordova,-CA-jobs.html","Sacramento, CA 95819",US,95819,Sacramento,Event Coordinator,a03c85c8cf06a330,E4fhWX_aAFqF37QMCtQEyoXu0O3q_u7jR-ad0LIkJdk
ec59b2a515c624ae,379ac144ab83a68f,6f3a5722449dc472,979da04777192a13,1,Indeed,Rudy's Hideaway,Rudy&#039;s Hideaway,"/jobs?q=Rudy%27s+Hideaway&l=Rancho+Cordova,+CA","Rancho Cordova, CA 95742",US,95742,Rancho Cordova,Host/Hostess Night Time,d188d320f3892da1,E4fhWX_aAFqF37QMCtQEyoXu0O3q_u7jR-ad0LIkJdk
193da5107a0f66e8,7a63f237588e0c79,9167dd1d6cbe37e4,1a93caa31afcad42,2,Indeed Hiring Events,TELUS International,TELUS International,"/q-TELUS-International-l-Rancho-Cordova,-CA-jobs.html","Folsom, CA 95630",US,95630,Folsom,CSR - Customer Service Representative Virtual Hiring Event,7018617eed203ecd,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sZY-AeFmrYmLfZlommaQjts
e64cf5a7f35605ff,00c8918b11cc1001,e9efad4353251eb4,2ab95d0a1ad254f8,3,"Loomis Armored US, LLC","Loomis Armored US, LLC","Loomis Armored US, LLC","/q-Loomis-Armored-US-l-Rancho-Cordova,-CA-jobs.html","Sacramento, CA",US,,Sacramento,Cash Management Services Teller (Part-Time/PM Shift),a03c85c8cf06a330,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4saNyL8NJJLssEW-nyYAmj9N
e3b21556db29123a,74f468b011d436f1,10d89a363533545e,fd66e3facc02a755,4,Indeed,California Public Employees' Retirement System (CalPERS),California Public Employees&#039; Retirement System (CalPERS),"/jobs?q=California+Public+Employees%27+Retirement+System+(CalPERS)&l=Rancho+Cordova,+CA","Sacramento, CA 95811",US,95811,Sacramento,Membership Review Analyst,a03c85c8cf06a330,Q8cpaXXvJUtjSDwnnTqItqNGmSrEJt0_YsoHTG-fnd11acCf965hIO1O3tD_B4gq
ee8b4317f8f9044e,ec3105f29cca4379,a59f08b500897d54,6d75cb037bec8923,5,Indeed,Elk Grove Toyota,Elk Grove Toyota,"/q-Elk-Grove-Toyota-l-Rancho-Cordova,-CA-jobs.html","Elk Grove, CA 95757",US,95757,Elk Grove,Call Center Customer Service Representative,5500c50eab3ba786,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sYKwV79vAlYf1WVRfndRjZP
e66e3f67e22802e8,294c1852f6515f3f,7fce24ceed4ffccb,01221f744555bb41,6,Indeed,Turning Point Community Programs,Turning Point Community Programs,"/q-Turning-Point-Community-Programs-l-Rancho-Cordova,-CA-jobs.html","Roseville, CA 95661",US,95661,Roseville,Office Manager,75684e6fe6a0671a,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4saNxUDSLdcP0C1KxySNhwzK
a0f28802c9e9088e,c660040b325f23ec,ed1ac4fd82fb65fc,657f9996be4d5d31,7,Indeed,Foliate Plant Domaine,Foliate Plant Domaine,"/q-Foliate-Plant-Domaine-l-Rancho-Cordova,-CA-jobs.html","Sacramento, CA 95811",US,95811,Sacramento,Administrative Assistant,a03c85c8cf06a330,E4fhWX_aAFqF37QMCtQEyoXu0O3q_u7jR-ad0LIkJdk
6c78bb29da7f50d9,e029989d558dd82f,24454ecf554e66ca,67dfb52c7828e179,8,Indeed,"Sierra Pacific Home & Comfort, Inc.","Sierra Pacific Home &amp; Comfort, Inc.","/q-Sierra-Pacific-Home-&-Comfort-l-Rancho-Cordova,-CA-jobs.html","Rancho Cordova, CA 95742",US,95742,Rancho Cordova,Administrative Assistant,d188d320f3892da1,E4fhWX_aAFqF37QMCtQEyoXu0O3q_u7jR-ad0LIkJdk
5b32e16572c99114,8b979ddd69dc88d9,912750692bdd6122,78bbcd26e39621f5,9,Wells Fargo,Wells Fargo,Wells Fargo,"/q-Wells-Fargo-l-Rancho-Cordova,-CA-jobs.html","Sacramento, CA",US,,Sacramento,Associate Personal Banker (SAFE) - Country Club,a03c85c8cf06a330,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4saEnDN7BjFBCRVl0RitRxK-
edda8f9fa30ec0ae,79e4029f1c4c8a1f,cfa1d1ce2c032ac4,91b223972ed01612,10,Indeed,PrecisionMD Cosmetic Surgery Center,PrecisionMD Cosmetic Surgery Center,"/q-PrecisionMD-Cosmetic-Surgery-Center-l-Rancho-Cordova,-CA-jobs.html","Elk Grove, CA 95758",US,95758,Elk Grove,Plastic Surgery Patient Consultant,5500c50eab3ba786,E4fhWX_aAFqF37QMCtQEyoXu0O3q_u7jR-ad0LIkJdk
29d2ae9460fa265d,e4832414d6f7c93f,7a4cbc870a3dfccc,3d9cbc5f31909e35,11,Indeed,Compass Senior Living LLC,Compass Senior Living LLC,"/q-Compass-Senior-Living-l-Rancho-Cordova,-CA-jobs.html","Orangevale, CA 95662",US,95662,Orangevale,Life Enrichment Director,95ac976aef7bad06,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sZY-AeFmrYmLfZlommaQjts
a6a1b5794732061f,f1fd63b47207da87,1a4c0fddb8ec45ec,b345aa8f29e91573,12,Indeed,SeaQuest Management Inc.,SeaQuest Management Inc.,"/q-SeaQuest-Management-l-Rancho-Cordova,-CA-jobs.html","Folsom, CA 95630",US,95630,Folsom,Guest Services Team Member,7018617eed203ecd,E4fhWX_aAFqF37QMCtQEyhxNNjPrsTulYVJeVzSI4sbdRF9y0fgpqTUnAE_NfIFS
